IEEE,SR_V1,SR_V2,DSR,CDSR,VICON,TIME
71.0,71.0,71.0,72.0,72.0,87.1864,1411726.0
71.0,71.0,71.0,72.0,72.0,87.1780,1411742.3333333333
71.0,71.0,71.0,72.0,72.0,87.1835,1411758.6666666667
73.0,73.0,73.0,74.0,75.6,87.1812,1411775.0
73.0,73.0,73.0,74.0,76.2,87.1827,1411791.0
73.0,73.0,73.0,74.0,76.9,87.1822,1411807.0
73.0,73.0,73.0,72.0,72.0,87.1808,1411823.0
73.0,73.0,73.0,72.0,72.0,87.1810,1411839.3333333333
73.0,73.0,73.0,72.0,72.0,87.1723,1411855.6666666667
72.0,72.0,72.0,73.0,73.0,87.1761,1411872.0
72.0,72.0,72.0,73.0,73.0,87.1723,1411890.0
72.0,72.0,72.0,73.0,73.0,87.1770,1411908.0
72.0,70.0,70.0,70.0,70.0,87.1731,1411926.0
72.0,70.0,70.0,70.0,70.0,87.1725,1411941.3333333333
72.0,70.0,70.0,70.0,70.0,87.1852,1411956.6666666667
72.0,72.0,72.0,73.0,73.0,87.1874,1411972.0
72.0,72.0,72.0,73.0,73.0,87.1874,1411989.0
72.0,72.0,72.0,73.0,73.0,87.1897,1412006.0
72.0,72.0,72.0,72.0,72.0,87.1763,1412023.0
72.0,72.0,72.0,72.0,72.0,87.1778,1412040.3333333333
72.0,72.0,72.0,72.0,72.0,87.1741,1412057.6666666667
73.0,73.0,73.0,74.0,74.0,87.1709,1412075.0
73.0,73.0,73.0,74.0,74.0,87.1520,1412092.0
73.0,73.0,73.0,74.0,74.0,87.1738,1412109.0
73.0,68.0,68.0,68.0,68.0,87.1714,1412126.0
73.0,68.0,68.0,68.0,68.0,87.1714,1412142.0
73.0,68.0,68.0,68.0,68.0,87.1828,1412158.0
71.0,71.0,71.0,74.0,74.0,87.1869,1412174.0
71.0,71.0,71.0,74.0,74.0,87.1795,1412190.3333333333
71.0,71.0,71.0,74.0,74.0,87.1880,1412206.6666666667
71.0,73.0,73.0,73.0,73.0,87.1804,1412223.0
71.0,73.0,73.0,73.0,73.0,87.1900,1412239.3333333333
71.0,73.0,73.0,73.0,73.0,87.1698,1412255.6666666667
72.0,72.0,72.0,71.0,71.0,87.1502,1412272.0
72.0,72.0,72.0,71.0,71.0,87.1556,1412289.3333333333
72.0,72.0,72.0,71.0,71.0,87.2891,1412306.6666666667
72.0,70.0,70.0,71.0,71.0,87.2934,1412324.0
72.0,70.0,70.0,71.0,71.0,87.2733,1412340.6666666667
72.0,70.0,70.0,71.0,71.0,87.3068,1412357.3333333333
71.0,71.0,71.0,71.0,71.0,87.3033,1412374.0
71.0,71.0,71.0,71.0,71.0,87.2963,1412391.0
71.0,71.0,71.0,71.0,71.0,87.2948,1412408.0
71.0,72.0,72.0,72.0,72.0,87.2970,1412425.0
71.0,72.0,72.0,72.0,72.0,87.2917,1412442.0
71.0,72.0,72.0,72.0,72.0,87.3089,1412459.0
71.0,71.0,71.0,70.0,70.0,87.2941,1412476.0
71.0,71.0,71.0,70.0,70.0,87.2928,1412492.3333333333
71.0,71.0,71.0,70.0,70.0,87.2969,1412508.6666666667
71.0,70.0,70.0,70.0,70.0,87.2927,1412525.0
71.0,70.0,70.0,70.0,70.0,87.2793,1412541.3333333333
71.0,70.0,70.0,70.0,70.0,87.3016,1412557.6666666667
71.0,71.0,71.0,71.0,71.0,87.2649,1412574.0
71.0,71.0,71.0,71.0,71.0,87.2473,1412590.3333333333
71.0,71.0,71.0,71.0,71.0,87.3000,1412606.6666666667
71.0,73.0,73.0,73.0,74.5,87.3047,1412623.0
71.0,73.0,73.0,73.0,75.2,87.3016,1412640.0
71.0,73.0,73.0,73.0,75.9,87.2985,1412657.0
72.0,72.0,72.0,73.0,73.0,87.2962,1412674.0
72.0,72.0,72.0,73.0,73.0,87.2907,1412696.0
72.0,72.0,72.0,73.0,73.0,87.3002,1412718.0
72.0,70.0,70.0,72.0,72.0,87.2428,1412740.0
72.0,70.0,70.0,72.0,72.0,87.1845,1412752.3333333333
72.0,70.0,70.0,72.0,72.0,87.1735,1412764.6666666667
73.0,73.0,73.0,74.0,74.0,87.1795,1412777.0
73.0,73.0,73.0,74.0,74.0,87.1758,1412794.0
73.0,73.0,73.0,74.0,74.0,87.1758,1412811.0
73.0,73.0,73.0,74.0,74.0,87.1729,1412828.0
73.0,73.0,73.0,74.0,74.0,87.1729,1412844.3333333333
73.0,73.0,73.0,74.0,74.0,87.1729,1412860.6666666667
71.0,71.0,71.0,71.0,71.0,87.2104,1412877.0
71.0,71.0,71.0,71.0,71.0,87.2839,1412893.3333333333
71.0,71.0,71.0,71.0,71.0,87.2839,1412909.6666666667
71.0,70.0,70.0,71.0,71.0,87.2839,1412926.0
71.0,70.0,70.0,71.0,71.0,87.2862,1412942.0
71.0,70.0,70.0,71.0,71.0,87.2862,1412958.0
72.0,72.0,72.0,73.0,73.0,87.2862,1412974.0
72.0,72.0,72.0,73.0,73.0,87.2908,1412991.0
72.0,72.0,72.0,73.0,73.0,87.2847,1413008.0
72.0,73.0,73.0,73.0,73.0,87.2847,1413025.0
72.0,73.0,73.0,73.0,73.0,87.2305,1413042.0
72.0,73.0,73.0,73.0,73.0,87.2077,1413059.0
73.0,73.0,73.0,74.0,74.0,87.2135,1413076.0
73.0,73.0,73.0,74.0,74.0,87.1846,1413093.3333333333
73.0,73.0,73.0,74.0,74.0,87.1748,1413110.6666666667
73.0,69.0,69.0,70.0,70.0,87.1846,1413128.0
73.0,69.0,69.0,70.0,70.0,87.1846,1413144.0
73.0,69.0,69.0,70.0,70.0,87.1754,1413160.0
72.0,72.0,72.0,73.0,73.0,87.1900,1413176.0
72.0,72.0,72.0,73.0,73.0,87.1885,1413192.3333333333
72.0,72.0,72.0,73.0,73.0,87.1795,1413208.6666666667
72.0,71.0,71.0,72.0,72.0,87.1711,1413225.0
72.0,71.0,71.0,72.0,72.0,87.1868,1413241.3333333333
72.0,71.0,71.0,72.0,72.0,87.1727,1413257.6666666667
72.0,72.0,72.0,73.0,73.0,87.1866,1413274.0
72.0,72.0,72.0,73.0,73.0,87.1800,1413290.3333333333
72.0,72.0,72.0,73.0,73.0,87.1757,1413306.6666666667
72.0,69.0,69.0,71.0,71.0,87.1698,1413323.0
72.0,69.0,69.0,71.0,71.0,87.1698,1413340.0
72.0,69.0,69.0,71.0,71.0,87.1681,1413357.0
72.0,72.0,72.0,73.0,73.0,87.1812,1413374.0
72.0,72.0,72.0,73.0,73.0,87.1823,1413391.3333333333
72.0,72.0,72.0,73.0,73.0,87.1776,1413408.6666666667
72.0,69.0,69.0,70.0,70.0,87.1776,1413426.0
72.0,69.0,69.0,70.0,70.0,87.1847,1413442.6666666667
72.0,69.0,69.0,70.0,70.0,87.1847,1413459.3333333333
69.0,69.0,69.0,71.0,71.0,87.1879,1413476.0
69.0,69.0,69.0,71.0,71.0,87.1771,1413492.3333333333
69.0,69.0,69.0,71.0,71.0,87.1771,1413508.6666666667
69.0,72.0,72.0,73.0,73.0,87.1720,1413525.0
69.0,72.0,72.0,73.0,73.0,87.1712,1413541.3333333333
69.0,72.0,72.0,73.0,73.0,87.1716,1413557.6666666667
72.0,72.0,72.0,73.0,73.0,87.1746,1413574.0
72.0,72.0,72.0,73.0,73.0,87.1780,1413590.3333333333
72.0,72.0,72.0,73.0,73.0,87.1851,1413606.6666666667
72.0,71.0,71.0,71.0,71.0,87.1851,1413623.0
72.0,71.0,71.0,71.0,71.0,87.1883,1413640.0
72.0,71.0,71.0,71.0,71.0,87.1883,1413657.0
72.0,72.0,72.0,72.0,72.0,87.1678,1413674.0
72.0,72.0,72.0,72.0,72.0,87.1756,1413690.3333333333
72.0,72.0,72.0,72.0,72.0,87.1814,1413706.6666666667
72.0,74.0,74.0,73.0,73.0,87.1814,1413723.0
72.0,74.0,74.0,73.0,73.0,87.1799,1413740.0
72.0,74.0,74.0,73.0,73.0,87.1840,1413757.0
74.0,74.0,74.0,75.0,76.5,87.1805,1413774.0
74.0,74.0,74.0,75.0,77.2,87.1726,1413791.0
74.0,74.0,74.0,75.0,77.8,87.1708,1413808.0
74.0,71.0,71.0,71.0,71.0,87.1708,1413825.0
74.0,71.0,71.0,71.0,71.0,87.1846,1413842.3333333333
74.0,71.0,71.0,71.0,71.0,87.1846,1413859.6666666667
70.0,70.0,70.0,71.0,71.0,87.1648,1413877.0
70.0,70.0,70.0,71.0,71.0,87.1766,1413892.6666666667
70.0,70.0,70.0,71.0,71.0,87.1697,1413908.3333333333
70.0,71.0,71.0,72.0,72.0,87.1739,1413924.0
70.0,71.0,71.0,72.0,72.0,87.1844,1413940.0
70.0,71.0,71.0,72.0,72.0,87.1738,1413956.0
73.0,73.0,73.0,74.0,75.5,87.1820,1413972.0
